01/12/2015,14,91.93,34,31,17382
01/12/2015,15,87.66,34,32,17203
01/12/2015,16,85.04,34,32,17233
01/12/2015,17,106.53,34,32,18006
01/12/2015,18,84.73,34,32,18797
01/12/2015,19,92.68,34,32,18577
01/12/2015,20,84.81,34,32,17993
01/12/2015,21,74.8,34,31,17218
01/12/2015,22,64.52,34,30,16036
01/12/2015,23,57.15,35,30,14658
01/12/2015,24,50.66,34,28,13466
01/13/2015,1,59.94,34,27,12713
01/13/2015,2,45.72,32,24,12310
01/13/2015,3,38.84,31,22,12193
01/13/2015,4,40.07,29,18,12271
01/13/2015,5,-47.25,27,15,12718
01/13/2015,6,65.68,24,13,13961
01/13/2015,7,82.03,22,10,16079
01/13/2015,8,133.57,19,5,17241
01/13/2015,9,95.89,16,3,17367
01/13/2015,10,88.62,16,1,17344
01/13/2015,11,72.47,16,1,17323
01/13/2015,12,66.45,17,0,17202
01/13/2015,13,66.56,18,-1,17024
01/13/2015,14,69.26,20,-1,16993
01/13/2015,15,68.04,20,-1,16918
01/13/2015,16,67.08,20,-2,17116
01/13/2015,17,82.83,20,-3,18103
01/13/2015,18,101.33,18,-3,19521
01/13/2015,19,92.83,16,-1,19614
01/13/2015,20,104.07,15,-2,19307
01/13/2015,21,98.27,13,-3,18749
01/13/2015,22,85.28,12,-4,17693
01/13/2015,23,66.49,11,-5,16314
01/13/2015,24,77.6,10,-6,15118
01/14/2015,1,95.61,9,-6,14387
01/14/2015,2,85.88,8,-6,14054
01/14/2015,3,77.29,8,-6,13938
01/14/2015,4,89.19,8,-6,13980
01/14/2015,5,92.17,8,-5,14346
01/14/2015,6,98.28,8,-4,15423
01/14/2015,7,107.19,9,-3,17404
01/14/2015,8,117.97,9,-1,18536
01/14/2015,9,104.16,10,1,18656
01/14/2015,10,109.62,12,2,18717
01/14/2015,11,103.36,14,4,18783
01/14/2015,12,91.97,16,6,18699
01/14/2015,13,85.36,18,8,18513
01/14/2015,14,91.83,20,10,18364
01/14/2015,15,83.76,21,11,18171
01/14/2015,16,83.19,22,12,18212
